Preschool_Name,Preschool_Latitude,Preschool_Longitude,Distance_To_User_km
Kiddiwinkie Schoolhouse @ Grandstand Pte Ltd (Cactus),1.3908741,103.8516169,7.089338543582741
Kiddiwinkie Schoolhouse @ Newton,1.310416,103.839896,15.038556130549637
Kiddiwinkie Schoolhouse @ Novena Pte Ltd,1.3210943,103.8424364,13.93008087499453
Kiddiwinkie Schoolhouse @ Upper Bukit Timah,1.3425214,103.7739101,12.139831096264237
Kiddiwinkie Schoolhouse Singapore Pte Ltd (MacRitchie Park),1.34325,103.8378613,11.414777170361145
Kids' Star Child Development Centre (S) Pte Ltd,1.3695494,103.8584468,9.501181640658542
Kidskingdom Pte Ltd,1.3521803,103.8801098,12.430307285604014
Kidsville Child Care & Development Centre (201 Yishun St 21),1.4308075,103.838212,2.885402479483967
Kidz Meadow @ Buangkok Ridge,1.3826536,103.8803199,9.876764540270637
Kidz Meadow Childcare & Development Centre (Bedok North),1.3290914,103.9328176,18.211256337500874
Kidz Meadow Childcare & Development Centre (Eunos),1.3233814,103.9042942,16.600764121845298
Kidz Meadow Childcare & Development Centre (Jurong West),1.3379951,103.7022371,17.2091067108747
Kidz Meadow Childcare & Development Centre (Pasir Ris),1.3837439,103.9435157,15.698419780655945
Kidz Meadow Childcare & Development Centre (Woodlands),1.4429334,103.7895141,2.8941603897363506
Kidz Meadow Childcare & Development Centre (Yew Tee),1.3999923,103.7443123,9.276429168275032
Kidz Meadow Childcare & Development Centre (Yishun),1.4370135,103.8309351,1.854522815815979
KIDZEE Play School,1.3390914,103.7787702,12.3033672181464
Kinderland Preschool (202 Hougang Street 21),1.3576577,103.8838784,12.194654397362752
Kinderland Preschool (Marine Parade),1.3024579,103.9055237,18.59678240857521
Kinderland Preschool (Ministry of Manpower),1.287552,103.8441793,17.62510337138258
Kinderland Preschool (Ministry of National Development),1.279519,103.8465378,18.551246237468852
Kinderland Preschool (Pandan Valley),1.319938,103.779565,14.304662425463322
Kinderland Preschool (Revenue House),1.3193769,103.8421082,14.108977224849864
Kinderland Preschool (Woodlands Civic Centre),1.4352137,103.7867594,3.328347705788284
Kinderland Preschool (Yio Chu Kang),1.3909531,103.8541442,7.244860441316252
Kinderland Preschool @ Sengkang,1.3913873,103.9003585,11.06356599777621
Kinderland Preschool @ Sunshine Place,1.3777611,103.7386162,11.246501135987238
Kinderland Preschool @ Woodlands Mart,1.4459825,103.7978503,1.9869597203728402
Kindertown Educare Pte Ltd,1.3914097,103.9004727,11.07308389057605
Kumon Learning Centre - Choa Chu Kang - Limbang,1.3920583,103.7433493,9.852109208762338
Kumon Learning Centre - Choa Chu Kang - Sunshine Place,1.3780266,103.7389881,11.195892875449136
Learning Hub @ Graceland Pte Ltd,1.3803259,103.7603854,9.320256657096984
Learning Kidz @ Jubilee Square,1.3717481,103.8476672,8.73617307238868
Learning Kidz @ Our Tampines Hub,1.3529604,103.9403451,17.13791890638488
Learning Kidz @ Tampines Plaza,1.3530909,103.9427236,17.3442309056788
Learning Kidz @ Tampines Point,1.3526533,103.9424517,17.347878264761682
Learning Kidz Child Development Centre LLP,1.3484964,103.8755592,12.489587070967978
Learning Kidz Educentre Pte Ltd,1.3693528,103.8483592,9.010779085331045
Learning Vision @ Harbourlink (Pasir Panjang),1.2771267,103.7978899,18.598371852306144
Learning Vision @ Punggol Field,1.399505,103.903178,10.898325462529247
Learning Vision @ Raffles Place,1.2797396,103.848662,18.572504040656728
Learning Vision @ Techpoint,1.3893778,103.8492215,7.082892273494532
Learning Vision @ Temasek Lifesciences Laboratory,1.2941606,103.7765406,17.1573434352142
Learning Vision @ Work Mnd Complex,1.278909,103.845805,18.602997336832146
Learning Vision @ Work Pte Ltd (Biopolis),1.3045816,103.7916914,15.66769850389015
Learning Vision @ Work Pte Ltd (CET East Campus),1.3198898,103.8923802,16.17793728456974
Learning Vision @ Work Pte Ltd (Changi Airport),1.3621589,103.9900509,21.4010867930896
Learning Vision @ Work Pte Ltd (Changi Business Park II),1.3384831,103.9649407,20.298598760661736
Learning Vision @ Work Pte Ltd (Hwa Chong),1.3249853,103.7997397,13.289547916951507
Learning Vision @ Work Pte Ltd (Nanyang Polytechnic),1.3827165,103.8494714,7.735125038560078
Learning Vision @ Work Pte Ltd (NTU),1.3530312,103.6892433,17.268732762492974
Learning Vision @ Work Pte Ltd (NUH Medical Centre),1.2934298,103.7845351,17.034150171933963
Learning Vision @ Work Pte Ltd (Seng Kang Community Hospital),1.3963094,103.8911356,9.903751317144991
"Learning Vision @ Work Pte Ltd (Sunshine Place, Choa Chu Kang)",1.378002,103.7390555,11.191977518134083
Learning Vision @ Work Pte Ltd (Tan Tock Seng Hospital),1.3208729,103.8455559,14.032502593894934
Learning Vision @ Work Pte Ltd (Woodlands Vista Point),1.43111,103.79373,2.786358901876971
Learninghill Educare Pte Ltd (Lakme Street),1.3167675,103.927521,18.79829359759849
Little Beez Playskool,1.3628882,103.9541964,17.8270145926909
Little Big Pre-School Pte Ltd,1.315427,103.909938,17.684983020211725
Little Dolphins Playskool (Choa Chu Kang),1.3801878,103.7432688,10.678787249470153
Little Footprints Preschool (Admiralty),1.4625623,103.8160974,2.1258554091552857
Little Footprints Preschool (Ang Mo Kio),1.3785445,103.87617,9.874551020400204
Little Footprints Preschool (Balestier 2),1.3252909,103.85384,13.81133025429248
Little Footprints Preschool (Boon Keng),1.319582,103.865965,14.870414209221902
Little Footprints Preschool (Bukit Panjang 546),1.3886142,103.7703292,7.902200446304951
Little Footprints Preschool (Bukit Panjang 631),1.3865825,103.760386,8.808154160882728
Little Footprints Preschool (Choa Chu Kang - Limbang),1.3920515,103.743666,9.823893303422036
Little Footprints Preschool (Choa Chu Kang 427),1.3808769,103.7397325,10.928649539445505
Little Footprints Preschool (ITE West),1.3760208,103.752942,10.229769955468397
Little Footprints Preschool (Jurong West 660),1.3364254,103.7033379,17.239773712097215
Little Footprints Preschool (Keat Hong 803),1.3737133,103.7437062,11.131262141882871
Little Footprints Preschool (Keat Hong 805),1.3725817,103.7439853,11.197222870416947
Little Footprints Preschool (Kent Ridge),1.2882315,103.7917333,17.461526092649983
Little Footprints Preschool (Lakeside),1.3386367,103.7191049,15.835600647620351
Little Footprints Preschool (Punggol Beach),1.4192604,103.9090721,10.738859114530607
Little Footprints Preschool (Sengkang 260),1.394152,103.895983,10.488219254793167
Little Footprints Preschool (Sengkang 439),1.3919015,103.8776983,8.977309809246563
Little Footprints Preschool (Ubi),1.3244851,103.8927214,15.766892994535041
Little Footprints Preschool (West Coast),1.3053004,103.7650364,16.35567926070606
Little Footprints Preschool (Woodgrove),1.4287518,103.7785637,4.423900199079891
Little Footprints Preschool (Woodlands 316),1.4314932,103.7760335,4.588982526953154
Little Footprints Preschool (Woodlands 877),1.4451443,103.791312,2.700295241406047
Little Footprints Preschool (Yio Chu Kang - Upper Thomson),1.3813757,103.8324573,7.154008086776676
Little Footprints Preschool (Yishun 701),1.4299278,103.8279207,2.038132504631087
Little Footprints Preschool Group Pte Ltd (140 Bishan Street 12),1.3449111,103.8528911,11.717336095732323
Little Footprints Preschool Group Pte Ltd (255 Serangoon Central Drive),1.3549683,103.8709132,11.605455679484349
Little Footprints Preschool Pte Ltd (743 Bedok Reservoir Road),1.338449,103.921816,16.60959591186579
Little Footprints Preschool Pte Ltd (Bukit Purmei),1.2748135,103.8272244,18.79663826659593
Little Footprints Preschool Pte Ltd (Jurong East 248),1.3421284,103.7398469,14.062218538249242
Little Footprints Preschool Pte Ltd (Jurong West 721),1.3439467,103.6977188,17.145703090412546
Little Footprints Preschool Pte Ltd (Jurong West 976),1.3398093,103.6935149,17.79965351063601
Little Footprints Preschool Pte Ltd (Punggol 107),1.3962575,103.9078697,11.526756528078256
Little Footprints Preschool Pte Ltd (Punggol 168),1.3937489,103.9139919,12.259839288637888
Little Footprints Preschool Pte Ltd (Sengkang 201),1.388964,103.8925251,10.484955048205501
Little Footprints Preschool Pte Ltd (Sengkang 205),1.3860434,103.8970448,11.082690340767021
Little Footprints Preschool Pte Ltd (Sengkang 275),1.3827628,103.8945947,11.07952028929802
Little Footprints Preschool Pte Ltd (Tampines 372),1.3566142,103.9580777,18.554646181824555
Little Footprints Preschool Pte Ltd (Tampines 460),1.3579718,103.95523,18.205805497401865
Little Footprints Preschool Pte Ltd (Teban Gardens),1.3234866,103.7399127,15.767975963420255
Little Footprints Preschool Pte Ltd (Woodlands 551),1.4331361,103.7954093,2.515092490278484
Little Footprints Preschool Pte Ltd (Yishun 366),1.4291567,103.8459457,3.734523443943039
Little Footprints Preschool Pte Ltd (Yishun 865),1.4142606,103.8381444,4.10451357626669
Little Gems Preschool@Redhill,1.2852376,103.811574,17.598175848459636
Little Green House @ Aljunied,1.3140481,103.8822376,16.186672328097192
Little Green House @ Bukit Batok,1.358959,103.750278,11.870442719339682
Little Green House @ Jurong West 502,1.3503466,103.7181423,14.980503558676663
Little Green House @ Serangoon 540,1.3745866,103.8727535,9.953825822523148
Little Green House @ Serangoon Block 553,1.3717585,103.8712596,10.095005851047762
Little Green House @ Sin Ming,1.3602761,103.8337935,9.468585057589275
Little Green House @ Tampines,1.357635,103.936851,16.519431172043163
Little Green House @ Yishun,1.4146974,103.8346957,3.8412145606110863
Little Greenhouse @ Hougang Pte Ltd,1.3588946,103.8894329,12.484625636461377
Little Greenhouse @ Woodlands Pte Ltd,1.4333848,103.7738486,4.76823078197935
Little Mighty Me Pte Ltd,1.4032005,103.9021633,10.617970747216203
Little Olive Tree (FMC Farrer Park),1.3090534,103.8515595,15.47139816445475
